site_id,case_id,z_agl_m,u,v,w,ws,wd,T,q,wind_dir_inflow,u_hub_inflow
SAC,case_ts027,80.0,0.19769878685474396,3.489267110824585,-0.020526813343167305,3.494863271713257,183.24285888671875,279.1502990722656,0.00344900693744421,166.8000030517578,3.327207088470459
SAC,case_ts027,105.0,0.1927659660577774,3.6655337810516357,-0.017193669453263283,3.6705989837646484,183.01034545898438,279.3134765625,0.003430828684940934,166.8000030517578,3.327207088470459
SAC,case_ts027,130.0,0.19728702306747437,3.8488574028015137,-0.01495597418397665,3.853910446166992,182.934326171875,279.5145568847656,0.003407251788303256,166.8000030517578,3.327207088470459
SAC,case_ts027,155.0,0.22279779613018036,4.049684047698975,-0.012880192138254642,4.055808067321777,183.14901733398438,279.7602233886719,0.003376401262357831,166.8000030517578,3.327207088470459
SAC,case_ts027,185.0,0.28670087456703186,4.274044990539551,-0.010198436677455902,4.283649921417236,183.83761596679688,280.0478210449219,0.00333658535964787,166.8000030517578,3.327207088470459
SAC,case_ts027,215.0,0.40751901268959045,4.517638206481934,-0.006319412030279636,4.535981178283691,185.15447998046875,280.3510437011719,0.003287987317889929,166.8000030517578,3.327207088470459
SAC,case_ts027,245.0,0.5843991637229919,4.759416580200195,-0.0017295809229835868,4.79516077041626,187.0001983642578,280.61932373046875,0.003234447445720434,166.8000030517578,3.327207088470459
SAC,case_ts027,280.0,0.7961893081665039,4.978476047515869,0.0030811342876404524,5.0417399406433105,189.08615112304688,280.8200378417969,0.003179849125444889,166.8000030517578,3.327207088470459
SAC,case_ts028,0.0,-0.5270556807518005,-1.4771684408187866,0.034138865768909454,1.568379521369934,19.636474609375,281.306640625,0.004631882533431053,5.599999904632568,4.19967794418335
SAC,case_ts028,20.0,-0.6191344261169434,-1.8661810159683228,0.06528014689683914,1.966204285621643,18.35406494140625,281.3017578125,0.004626917652785778,5.599999904632568,4.19967794418335
SAC,case_ts028,40.0,-0.6673557162284851,-2.1044600009918213,0.08297082781791687,2.20773983001709,17.5946044921875,281.2960510253906,0.004621115513145924,5.599999904632568,4.19967794418335
SAC,case_ts028,60.0,-0.7005097270011902,-2.301569700241089,0.10743991285562515,2.405813217163086,16.92822265625,281.2894287109375,0.004614445846527815,5.599999904632568,4.19967794418335
SAC,case_ts028,80.0,-0.7259657382965088,-2.4787466526031494,0.13520845770835876,2.582868814468384,16.32403564453125,281.281982421875,0.004607043229043484,5.599999904632568,4.19967794418335
SAC,case_ts028,105.0,-0.7472529411315918,-2.645634412765503,0.16449396312236786,2.7491395473480225,15.772216796875,281.2738342285156,0.004599056672304869,5.599999904632568,4.19967794418335
SAC,case_ts028,130.0,-0.7665796279907227,-2.8089184761047363,0.19533035159111023,2.9116435050964355,15.26483154296875,281.2651062011719,0.0045906309969723225,5.599999904632568,4.19967794418335
SAC,case_ts028,155.0,-0.785586416721344,-2.9741315841674805,0.2279834896326065,3.07613468170166,14.796142578125,281.2557373046875,0.004581746645271778,5.599999904632568,4.19967794418335
SAC,case_ts028,185.0,-0.805981457233429,-3.1460037231445312,0.2627405524253845,3.247606039047241,14.369659423828125,281.2452697753906,0.004572069272398949,5.599999904632568,4.19967794418335
SAC,case_ts028,215.0,-0.830180287361145,-3.328153610229492,0.3001214265823364,3.4301321506500244,14.006134033203125,281.23248291015625,0.004560673609375954,5.599999904632568,4.19967794418335
SAC,case_ts028,245.0,-0.862729549407959,-3.522054433822632,0.3406153917312622,3.626178503036499,13.763641357421875,281.2146911621094,0.004545641131699085,5.599999904632568,4.19967794418335
SAC,case_ts028,280.0,-0.9133010506629944,-3.722965955734253,0.3843429684638977,3.83335280418396,13.783355712890625,281.18719482421875,0.0045237792655825615,5.599999904632568,4.19967794418335
SAC,case_ts029,0.0,-3.344006299972534,-0.6508597135543823,0.02545519918203354,3.406757354736328,78.9859619140625,282.1186828613281,0.0036623950581997633,63.599998474121094,6.219496726989746
SAC,case_ts029,20.0,-4.10940408706665,-0.9349150657653809,0.04842124879360199,4.214411735534668,77.18301391601562,282.13336181640625,0.0036666172090917826,63.599998474121094,6.219496726989746
SAC,case_ts029,40.0,-4.533921718597412,-1.1305015087127686,0.04122786223888397,4.672738075256348,75.99920654296875,282.15362548828125,0.0036722009535878897,63.599998474121094,6.219496726989746
SAC,case_ts029,60.0,-4.838972091674805,-1.292712926864624,0.042466700077056885,5.008668422698975,75.04293823242188,282.17913818359375,0.003679042449221015,63.599998474121094,6.219496726989746
SAC,case_ts029,80.0,-5.086500644683838,-1.43523371219635,0.047701478004455566,5.285109519958496,74.2427978515625,282.2099304199219,0.003687086049467325,63.599998474121094,6.219496726989746
SAC,case_ts029,105.0,-5.309988975524902,-1.56448495388031,0.056020934134721756,5.535665512084961,73.58340454101562,282.2475280761719,0.0036965650506317616,63.599998474121094,6.219496726989746
SAC,case_ts029,130.0,-5.529605388641357,-1.679356575012207,0.06715671718120575,5.778994083404541,73.1063232421875,282.29425048828125,0.0037078484892845154,63.599998474121094,6.219496726989746
SAC,case_ts029,155.0,-5.759037017822266,-1.769466757774353,0.08096890151500702,6.024742126464844,72.92041015625,282.35308837890625,0.0037212702445685863,63.599998474121094,6.219496726989746
SAC,case_ts029,185.0,-6.007763862609863,-1.810543417930603,0.0972043052315712,6.274654865264893,73.2288818359375,282.4269104003906,0.0037368552293628454,63.599998474121094,6.219496726989746
SAC,case_ts029,215.0,-6.279370307922363,-1.7621517181396484,0.11583591997623444,6.521937847137451,74.32452392578125,282.51654052734375,0.00375379528850317,63.599998474121094,6.219496726989746
SAC,case_ts029,245.0,-6.5636067390441895,-1.579933524131775,0.1366204023361206,6.751082897186279,76.46575927734375,282.6168212890625,0.0037697285879403353,63.599998474121094,6.219496726989746
SAC,case_ts029,280.0,-6.837125301361084,-1.237705945968628,0.15838277339935303,6.948251247406006,79.739013671875,282.71649169921875,0.0037812027148902416,63.599998474121094,6.219496726989746
TRN,case_ts000,0.0,-4.073169231414795,-0.8943433165550232,-0.019782837480306625,4.170198917388916,77.6160888671875,288.95489501953125,0.005577238742262125,53.70000076293945,4.22457218170166
TRN,case_ts000,20.0,-4.881595134735107,-1.0526412725448608,0.0017947842134162784,4.993798732757568,77.83135986328125,288.97857666015625,0.005570821929723024,53.70000076293945,4.22457218170166
TRN,case_ts000,40.0,-5.314896106719971,-1.0905747413635254,0.000215428663068451,5.425631523132324,78.404296875,289.00103759765625,0.0055645848624408245,53.70000076293945,4.22457218170166
TRN,case_ts000,60.0,-5.639638900756836,-1.092921257019043,-0.013694125227630138,5.744563102722168,79.03244018554688,289.0230712890625,0.0055582839995622635,53.70000076293945,4.22457218170166
TRN,case_ts000,80.0,-5.934639930725098,-1.0792901515960693,-0.023809297010302544,6.031982898712158,79.69268798828125,289.0458984375,0.005551526788622141,53.70000076293945,4.22457218170166
TRN,case_ts000,85.0,-5.807598114013672,-1.0926640033721924,-0.07468599081039429,5.909493446350098,79.3447265625,289.03790283203125,0.0055539244785904884,53.70000076293945,4.22457218170166
TRN,case_ts000,105.0,-6.231485366821289,-1.052826166152954,-0.033777762204408646,6.319798469543457,80.4102783203125,289.0703430175781,0.005543996579945087,53.70000076293945,4.22457218170166
TRN,case_ts000,130.0,-6.547177314758301,-1.0134303569793701,-0.04349198564887047,6.625147342681885,81.20108032226562,289.09686279296875,0.005535451229661703,53.70000076293945,4.22457218170166
TRN,case_ts000,155.0,-6.893141746520996,-0.9598241448402405,-0.052609190344810486,6.9596452713012695,82.07290649414062,289.12542724609375,0.005525690969079733,53.70000076293945,4.22457218170166
TRN,case_ts000,160.0,-6.825007438659668,-0.9559872150421143,-0.05369475483894348,6.891635417938232,82.0263671875,289.1201171875,0.005527339410036802,53.70000076293945,4.22457218170166
TRN,case_ts000,185.0,-7.278419494628906,-0.8900465369224548,-0.06093500927090645,7.332637786865234,83.02816772460938,289.155517578125,0.005514552816748619,53.70000076293945,4.22457218170166
TRN,case_ts000,215.0,-7.710930347442627,-0.8014848232269287,-0.06818289309740067,7.752472400665283,84.06591796875,289.1861572265625,0.005501904990524054,53.70000076293945,4.22457218170166
TRN,case_ts000,245.0,-8.197739601135254,-0.690692663192749,-0.07391027361154556,8.226784706115723,85.1839599609375,289.2152404785156,0.005487642250955105,53.70000076293945,4.22457218170166
TRN,case_ts000,280.0,-8.744599342346191,-0.5530415773391724,-0.07746528089046478,8.762069702148438,86.3812255859375,289.2391662597656,0.005471676588058472,53.70000076293945,4.22457218170166
TRN,case_ts001,0.0,2.508175849914551,-1.5325729846954346,-0.10069286078214645,2.9393410682678223,301.42620849609375,284.6029357910156,0.006559123285114765,280.1000061035156,3.1079394817352295
